item_name,view_users,cart_users,checkout_users,purchase_users,item_revenue,view_to_cart_pct,cart_to_checkout_pct,checkout_to_purchase_pct,view_to_purchase_pct
Super G Unisex Joggers,14713,3471,240,221,9529.0,23.59,6.91,92.08,1.5
Google Zip Hoodie F/C,13869,3539,218,218,13788.0,25.52,6.16,100.0,1.57
Google Navy Speckled Tee,13696,3527,120,129,4440.0,25.75,3.4,107.5,0.94
YouTube Icon Tee Grey,12696,2122,58,58,1356.0,16.71,2.73,100.0,0.46
Google Campus Bike Eco Tee Navy,11339,3063,33,41,1165.0,27.01,1.08,124.24,0.36
Google Land & Sea Cotton Cap,10796,3569,126,104,2425.0,33.06,3.53,82.54,0.96
YouTube Icon Tee Charcoal,10700,1998,99,83,1805.0,18.67,4.95,83.84,0.78
YouTube Leather Strap Hat Black,10543,3198,83,67,1065.0,30.33,2.6,80.72,0.64
Google Land & Sea French Terry Sweatshirt,10201,1904,47,28,1375.0,18.66,2.47,59.57,0.27
Android SM S/F18 Sticker Sheet,10007,2886,111,96,342.0,28.84,3.85,86.49,0.96
Android Large Removable Sticker Sheet,9918,2845,62,50,234.0,28.69,2.18,80.65,0.5
Google F/C Long Sleeve Tee Charcoal,9640,2548,0,0,0.0,26.43,0.0,,0.0
Google Women's Striped L/S,9541,3027,0,0,0.0,31.73,0.0,,0.0
YouTube Twill Sandwich Cap Black,9519,2707,1170,87,1299.0,28.44,43.22,7.44,0.91
Google Sherpa Zip Hoodie Charcoal,9415,2009,96,92,6397.0,21.34,4.78,95.83,0.98
Google Speckled Beanie Navy,9314,3062,103,89,2424.0,32.88,3.36,86.41,0.96
Google Badge Heavyweight Pullover Black,9080,2584,129,149,9712.0,28.46,4.99,115.5,1.64
Google Heather Green Speckled Tee,9052,1843,45,65,1735.0,20.36,2.44,144.44,0.72
Google Crewneck Sweatshirt Navy,8754,2781,230,186,10714.0,31.77,8.27,80.87,2.12
Google Heathered Pom Beanie,8661,2957,186,171,3228.0,34.14,6.29,91.94,1.97
Google Small Standard Journal Navy,8208,2554,51,47,992.0,31.12,2.0,92.16,0.57
Google F/C Long Sleeve Tee Ash,8184,2431,0,0,0.0,29.7,0.0,,0.0
Google Land & Sea Journal Set,8106,1894,72,44,903.0,23.37,3.8,61.11,0.54
Android Super Hero 3D Framed Art,8050,2180,26,27,500.0,27.08,1.19,103.85,0.34
Android Large Trace Journal Black,7988,2360,29,22,217.0,29.54,1.23,75.86,0.28
Google Leather Strap Hat Blue,7825,2937,111,117,2142.0,37.53,3.78,105.41,1.5
Google Utility Bag Grey,7812,1744,81,60,846.0,22.32,4.64,74.07,0.77
Google Crewneck Sweatshirt Green,7731,2450,148,149,8382.0,31.69,6.04,100.68,1.93
Google Eco Tee Black,7683,1826,0,0,0.0,23.77,0.0,,0.0
Android Techie 3D Framed Art,7661,2227,39,36,688.0,29.07,1.75,92.31,0.47
Google Tee Yellow,7631,2236,38,33,363.0,29.3,1.7,86.84,0.43
Android Small Trace Journal Black,7510,2154,21,14,166.0,28.68,0.97,66.67,0.19
Google Blue Stojo Cup,7304,1509,74,37,1240.0,20.66,4.9,50.0,0.51
Android Iconic Hat Black,7079,2576,52,28,329.0,36.39,2.02,53.85,0.4
Google Tee Green,6928,1984,43,17,164.0,28.64,2.17,39.53,0.25
YouTube Women's Favorite Tee White,6885,1989,3,5,56.0,28.89,0.15,166.67,0.07
Google Laptop Sleeve Charcoal,6861,1425,22,12,224.0,20.77,1.54,54.55,0.17
Android Iconic Hat Green,6818,2569,28,25,391.0,37.68,1.09,89.29,0.37
